text,start,end
 What are the,14.25,15.354
 This is also a day.,19.338,20.538
 Auxility Day.,20.586,22.938
 of freedom.,251.562,252.666
 25,273.546,274.746
 And many other side what's up,284.778,286.554
 but,287.658,288.474
" because it will hurt the head, the ears, the muscles, the stomach, the blood from the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the",308.97,311.15400000000005
" throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat,",311.15400000000005,313.3380000000001
" Pain in head, back,",334.794,336.76599999999996
" ears, chin, and hands.",336.76599999999996,339.066
 I believe we can spread it out in 4 billion cars.,348.33,351.834
 And also has a Probex 7,370.89,373.434
 The price of the product is the same as the price of the product.,382.794,386.682
" 7,000 total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total",400.362,401.946
 ก็ผิด,402.954,404.058
 The red one is called the treatment of the treatment of the treatment of the treatment of the,412.65,415.962
 And we have to be aware of the fact that the doctors and the doctors and the doctors,436.362,439.194
" In the field of research, paper, and paper,",495.594,499.29
 And the tomatoes will be tomatoes.,543.69,544.794
 The US price is US$600,575.85,578.106
 I believe it will be a success in 2020.,631.242,634.938
 modern,645.45,648.186
" Nowadays, we have 2 factories",747.69,750.0630000000001
", especially in Kutiyak",750.0630000000001,751.9620000000001
 And we move on.,776.298,778.362
 because many places,811.53,813.498
 More,856.458,858.33
 It will be a question mark from the top 10 of the prototype.,862.218,864.954
 uh,865.578,867.45
 we will have a review of our happy now.,987.306,990.138
 large amount of,1002.474,1003.29
 as a co-manager last week.,1017.354,1020.378
 This is the texture.,1073.034,1075.482
 You go.,1092.33,1093.146
" For example,",1116.714,1118.01
" So, I'd like to say that we're going to have to make a profit.",1130.346,1133.754
 And,1152.33,1153.626
 if we use,1189.29,1190.778
 Add support from our,1294.602,1295.898
 2% to 3.2% after we have,1413.642,1415.826
 taken the money and shot the company,1415.826,1418.01
 CNA.,1428.714,1429.722
 in supermarkets.,1525.098,1526.298
 We will be better day and night.,1537.29,1539.93
" There will be many tribal companies, whether it's transportation,",1553.226,1556.538
" So, now, here's the thing.",1751.946,1753.242
 Be a,1779.498,1780.41
 long long,1814.826,1815.93
 or normal,1877.226,1878.138
 of you.,1919.178,1919.994
 It's a very important one.,1931.466,1934.202
 You,2042.25,2043.546
 You're gonna have nd,2047.146,2047.962
 Proceeding Theories.,2134.314,2136.474
 The new TFR,2220.138,2221.434
 40%,2222.25,2223.642
" Well,",2241.93,2243.226
 Oh Lord,2246.634,2247.45
 10-40% A,2253.546,2255.322
 because it's a higher-than-the-value approach.,2261.898,2263.386
 Use the word to be more and more,2315.85,2318.298
" So, I'll be looking for",2376.33,2377.338
 I want to improve.,2426.634,2427.834
 I'm sure Mr. Pack did.,2437.578,2438.682
 I don't think we can do anything better.,2493.258,2495.898
อยากสอบถามซีลิต้า,2506.986,2509.434
" And if it's not, it's gonna be better for Thailand.",2524.074,2527.386
 Feeling,2584.074,2584.89
" Oh, it's now",2631.978,2632.89
 So God,2698.026,2699.13
 I'm still a king.,2719.914,2721.594
 It's so hot.,2757.066,2758.746
 You're not my friend,2769.066,2769.978
