text,start,end
" Okay, good afternoon. Thanks for all of your shareholders",19.626,23.269000000000002
 coming to CCBT Opportunities Day.,23.269000000000002,25.626
" As you understand, we are going",25.866,29.274
 a new share issue.,29.61,31.098
 explain,31.146,36.09
,36.09,36.09
 uh what,36.234,37.146
 kind of um,37.386,38.394
" So,",38.826,39.93
 Can we go to,40.842,43.362
 the next page?,43.362,45.882000000000005
" Okay, good afternoon and tomorrow",46.026,47.418
 give you a brief instruction about our,47.85,49.338
 Company overviews.,123.402,126.138
 Uh...,126.666,130.65
 established in,130.794,134.106
" 1918, right?",134.442,136.026
 Our business is global EMSOD manufacturing.,136.65,137.562
 our headquarter located in Thailand.,139.338,141.498
" They are 20,000 for a country 70,000 for a country.",141.546,142.938
 seven,143.178,144.666
 and in,145.29,147.613
 globally,147.613,151.098
 46,151.146,152.058
" 1,759 employees.",152.682,155.802
 5.,156.33,158.94600000000003
85 BDN,158.94600000000003,161.56200000000004
 Out of standard issue,161.802,162.618
 Totally 4.79 billion shares.,163.146,164.058
 BDN TDR Shares.,165.642,167.61
 Our main product,169.098,170.202
 including storage devices.,170.538,173.85
 EV Charger,176.106,177.306
 from wireless security system.,179.37,181.434
 devices and more.,182.922,184.698
" manufacturing location including Thailand, China, Singapore, Malaysia,",186.666,189.882
" The Philippines, USA, Mexico and Brazil.",190.602,191.706
 Three factories worldwide.,194.73,196.506
 The revenue last year,197.322,198.714
 achieve 4.9 billion US dollars.,198.762,201.69
 our worldwide faculties.,207.69,208.986
 and employs a total of 40 employees.,211.242,212.442
 2007,212.682,215.802
 159 employees.,218.442,219.93
 and factory of low air value.,220.458,221.37
" Flaw area,",221.418,224.226
 totally.,224.226,227.034
 1.4 median square meters.,227.37,230.682
 Well...,232.746,234.714
" We have factories in Thailand, Philippines and Malaysia of Southeast Asia.",237.834,238.65
 especially in factories in Thailand which has,238.794,240.57
 And currently has plans for further,240.618,242.91299999999998
 expansion in Thailand.,242.91299999999998,244.69799999999998
 due to worldwide,245.514,247.386
 Chana plus what?,247.626,250.074
 manufacturing front,250.602,253.53
 Operation from China to Southeast Asia.,255.018,256.698
" So, uh...",257.226,259.674
" Our length area, Totally.",261.738,264.762
 about one million,266.73,269.562
 square meters.,269.706,271.29
 576,271.626,275.418
 Salsun,277.962,279.738
 seven country fight,286.122,286.938
 1,286.986,288.858
",477",288.858,292.60200000000003
 employees.,293.034,296.73
 There are 16 factories in Thailand.,297.738,301.434
 ,301.962,301.962
 uh...,301.962,306.81
 operation,307.242,309.306
 276,311.85,313.242
" You know, seven",313.866,316.314
 our flow,321.93,324.858
 Two hungry little foals,325.482,328.89
" In the Philippines, our employees are totally",329.514,330.714
 employees.,336.714,338.97
 seven factories in our Philippine side.,340.938,342.906
" and our floor area, we're totally fine.",343.05,344.73
" 5,000",344.778,346.17
 864 square meters.,346.506,348.954
 We have only one factory in Malaysia.,351.114,353.082
 Our plot cuts about the store,353.418,354.234
 We have a PC board assembly for heartless driver.,355.818,357.69
 PC4,361.962,363.066
 assembly and finished goods assembly.,364.074,366.714
 SSD,367.146,368.058
 EV charging.,368.298,371.802
" smart, winnable device.",372.522,373.626
 Home Wireless Security System.,373.866,374.778
 Solar Power Module.,375.018,376.314
 IoT devices and sensors and IP cameras.,381.258,383.322
 our place,383.37,384.762
 a printer.,386.154,387.162
 about communication radio.,389.226,390.042
 OTN.,393.834,395.514
 OPN,395.658,399.258
 IPTV set up bus,401.322,405.018
 fight AP and,410.538,411.546
 I would like to follow show you about,415.05,417.882
 six minutes,422.442,425.706
.,425.706,426.522
 Video clip.,426.858,429.882
 Let me introduce,429.93,431.61
 It's a negative summary.,432.234,435.354
 about operational highlight and business overview for first half of 2023.,439.338,443.322
" The first half year of 2023,",443.37,445.914
" Therefore, sales limit impresses society.",448.938,451.386
 for the first half year of 2023.,456.042,459.546
 cost,462.762,464.634
 cost of improvement and the treatment of their treatment of their,464.682,465.498
 as well as continuous enhanced,465.738,468.474
 The over-the-roll net profit has increased by,468.906,470.01
 77.79%,470.154,473.082
" as compared into the previous year, 2022.",477.738,478.842
 fully recovered.,480.234,482.298
 The company has few more new products.,482.346,485.082
 Implementation.,485.514,486.426
" The company, Shoe Steel, has",487.146,488.922
 has a positive,489.354,493.146
 be used for overall performance in,493.674,494.682
 2020-,501.834,503.874
21.,503.874,505.91400000000004
 literally increased,506.058,507.066
 due due to,507.594,510.234
 a few more new,519.69,521.082
 customer and a new product plus.,521.13,522.138
 Lensing program for a company's business intention,524.298,525.402
" companies, shareholders,",525.546,527.514
 Approval.,528.522,530.106
 Prince,535.914,537.306
 especially plants in Thailand inconsiderated currently.,537.642,540.474
 Factory.,545.418,546.522
 Capacity are reaching,546.858,548.442
 The company should have an initial plan,928.65,929.562
 Another full factory.,929.898,932.346
 facilities.,932.682,934.362
 budget,935.178,938.384
 planter,938.384,941.59
.,941.59,943.193
 of,947.658,949.8820000000001
 170 A,949.8820000000001,954.33
 with the capital injection.,954.762,958.266
" Apple, who enhance the financial structure of the company.",958.89,962.394
 by reducing approach symmetry.,967.05,970.65
 a product,971.178,974.874
 reduce uncertainties.,976.554,977.562
 and impress later,977.706,981.746
.,981.746,982.554
 from the currently global,982.698,986.01
 improve,989.802,990.618
 The property of the company.,990.762,994.65
 payment for the first half year 2023.,994.89,998.586
 for a past,999.018,1001.25
 few years.,1001.25,1003.482
 and has,1006.026,1007.7729999999999
 resolved,1007.7729999999999,1010.3939999999999
 uh... to pay out the internet,1011.018,1012.314
" little point, a little full back.",1013.034,1015.77
" per share for the first half year of 2023, which",1016.202,1017.69
 which is a burden.,1018.122,1020.57
 considered data net profit for the first half year of 2023.,1021.674,1024.026
 The record,1024.458,1026.042
 entitled,1026.378,1028.826
" Internet, DivaTest, or orchestra.",1031.754,1033.242
" 30th, 2023, and under a dividend.",1033.386,1035.162
" has paid on September 12, 2023.",1036.65,1038.426
 our self-division at,1038.858,1040.25
" The first half year, 2023.",1040.298,1041.114
 slider reduce.,1043.85,1045.626
 achieve for the six,1045.674,1047.93
 146 medium,1055.562,1059.258
 it's much better than,1067.082,1069.7030000000002
" last year, a first half year.",1069.7030000000002,1072.698
 Ah,1073.034,1075.002
" Half year of 2023, we pay",1079.082,1079.994
 Company pay,1080.234,1081.434
 It's better,1081.962,1084.495
 than plastic.,1084.495,1086.522
 Let's all for our company overview,1087.05,1089.719
. Thank you very much.,1089.719,1091.4180000000001
 Let's move on,1092.042,1092.858
 uh,1092.906,1094.778
 six years ago.,1095.21,1097.37
" After one year,",1098.762,1102.266
 because of the economic decline.,1102.314,1103.898
 The demand for markets is still low.,1104.33,1105.434
 in the first half of the year.,1105.482,1107.546
 Expense together.,1110.09,1111.194
 decreased by 15.58%,1111.242,1114.074
 um,1122.57,1124.442
 Operating Profit.,1124.49,1125.402
 will be clear.,1127.946,1131.642
 from last year.,1132.074,1134.522
 0.88%,1135.914,1136.826
" Now, uh,",1137.162,1139.61
บริษัทคือ,1143.402,1145.37
 88.24%,1146.186,1148.058
 1.40%,1151.178,1153.242
 It's grown by 72.84%,1157.706,1159.098
 uh ready,1159.242,1160.058
 uh,1160.97,1163.034
 you,1168.458,1170.498
 know,1170.498,1172.538
 we will have,1173.546,1175.13
 computer world.,1178.634,1180.122
" Now, please, we'd like invite our rights chairmen",1180.458,1182.33
 According to the world,1183.05,1184.826
 Bank Global Economic Prospect from July 2023.,1185.066,1186.554
 It was shown that there is a treatment of transformation of the signs and also the loss of,1187.946,1189.818
 The survey also declined manufacturing activity,1190.442,1193.396
 in some growing numbers of economics.,1193.396,1195.482
 economic,1195.626,1196.922
 Reflecting very high financial costs.,1197.45,1199.034
 I become some problems,1201.866,1205.086
 in some sectors.,1205.086,1207.77
" And also, according to the same report,",1208.394,1209.402
 Global financial condition has shown a firm,1213.29,1214.202
 So while a growing number of emerging markets and developing economic central banks have recently,1215.018,1216.986
 pass the monetary titan,1217.322,1219.77
 or lower the policy rate.,1220.202,1223.706
 in second quarter of 2023.,1224.714,1228.698
 We will continue enhancing and upgrading our automation and our 4.0 factory system for,1229.13,1230.33
 To be more competitive and also,1230.762,1233.498
" And also, despite",1233.642,1237.338
 The global economic uncertainty which I just mentioned,1237.674,1239.834
 in the previous page and also the flat consumption spending in the first half of 2023.,1247.85,1248.666
 Our team has been very aggressive and very successful.,1249.002,1250.586
 implements new products such as small wearable devices,1251.21,1253.466
" uh, pause machine",1254.474,1258.17
 Even given,1259.37,1260.666
 The world market.,1262.826,1263.642
 demand as being sluggish.,1263.69,1267.098
 for,1267.434,1268.538
 for the entire 2023.,1268.682,1271.13
 The company will also,1272.33,1275.066
 and also a,1276.074,1278.402
 new product.,1278.402,1280.73
" such as EV charging station,",1408.842,1410.234
 IoT Home Security Business.,1435.626,1437.018
 Earth open cell like product,1443.69,1444.89
 And,1445.13,1446.426
 These are future,1462.698,1464.378
 uh,1483.914,1485.594
 for the following years.,1504.074,1505.562
 So we would like to go to the Q&A sections.,1507.626,1511.13
 May I?,1512.81,1514.394
 Why?,1517.802,1521.21
 Why do companies let,1545.642,1546.938
 Uh oh.,1565.418,1567.674
" An investor,",1585.674,1586.682
 a pound receivable from TIFO.,1586.922,1590.138
 Why don't you give so much credit for them and not blame them people to pay faster?,1604.298,1605.882
 Thank you very much for your question.,1607.85,1608.858
 we are trying,1609.002,1609.818
" Our team, even given the worldwide economic situation, is not doing well.",1621.482,1622.97
 we are still getting a lot of new products,1623.882,1626.138
 from our affiliate companies as well.,1626.378,1627.482
 uh...,1647.498,1648.41
 I'm not legally allowed,1655.562,1656.378
" To, um",1666.41,1668.474
 customer situation.,1672.842,1674.618
 But we are certainly doing all we can,1674.954,1677.402
 and also try to shorten account receivable length.,1712.874,1715.706
 But it all depends on how we negotiate with our customer.,1720.65,1724.346
" And as you can see,",1729.674,1731.162
" Right now, given",1738.026,1738.938
 Wind down,1751.562,1752.378
 a little bit but we are trying to cut down our SG&A cost and,1777.386,1778.298
 or try to cut down,1778.346,1780.506
 other expenses.,1780.506,1783.0980000000002
