true_text,pred_text
สวัสดีครับ,สวัสดีครับ
สวัสดีครับ,สวัสดีครับ
ขอต้อนรับลงทุนนะครับ เข้าสู่งาน,ก็จะรับลงทุนเข้าสู่งานต่อไป
opportunity day นะครับ,ขอบคุณที่ติดตามนะครับ
ผมนัท ณัฐสิทธิ์,นักทัศน์จิตนะครับ
นะครับ เป็นนักลงทุนนะครับ,เป็นนักลงทุนนะครับ
ส่วนท่านนี้เป็นคุณวิรัช,ส่วนท่านนี้เป็นคุณวิรัตน์นอกนรก
รอบรับทําเป็น gfo ครับ,แล้วก็ทำเป็น gfo ครับ
สวัสดีครับ,สวัสดีครับ
ครับ ขอบคุณทางตลาดนะครับ,ขอบคุณทางตลาดนะครับ
ที่ให้โอกาสทางบริษัท,ที่ให้โอกาสทางบริษัท
กลุ่มบริษัท ทริพเพิลไอ,กลุ่มแบบที่ไป
โลจิสติกส์ จํากัด มหาชน,ที่จะจำกัดมา
นะครับ ได้มา,ได้มา
แจ้งเรื่องผลประกอบการของกลุ่มธุรกิจนะครับในรอบเก้าเดือนแล้วก็ไตรมาสที่สามประจําปี2566 นะครับนะครับก่อนอื่นก็เริ่มอาร์เจนด้านะครับจะให้ทางคุณณัฐสิทธิ์ซึ่งเป็นฝ่ายนักลงทุนสัมพันธ์ของเรานะครับได้มาแจ้งเรื่องข้อมูลว่ากลุ่มธุรกิจของทริพเพิลไอ,เรื่องผลประกอบการของกลุ่มธุรกิจนะครับในรอบ 9 เดือน แล้วก็ไตรมาสที่ 3 ประจำปี 2566 นะครับนะครับก่อนอื่นก็เริ่ม Agenda นะครับจะให้ทางคุณณัฐสิทธิ์ซึ่งเป็นฝ่ายนักลงทุนสุดสำคัญของเรานะครับ ได้มาแจ้งเรื่องข้อมูลว่ากลุ่มธุรกิจของที่ไปโลจิจิต
โลจิสติกส์จํากัดมหาชนได้ทําเกี่ยวกับอะไรบ้าง,มหาชนได้ทำเกี่ยวอะไรบ้างรวมกัน
รวมทั้งมีไทม์ไลน์เกี่ยวกับเรื่อง,ทั้งมีทำรายเกี่ยวกับเรื่อง
ตั้งแต่เข้าตลาดนะครับ,ตั้งแต่เข้าตลาดนะครับ
เพื่อเป็นข้อมูลสําหรับนักลงทุนที่สนใจนะครับ,เป็นข้อมูลสำหรับนักลงทุนที่สนใจ
ก็ให้ทางคุณทักษิณ,ก็ให้ตามคุณดัชน์สิน
ส่วนของผมเองจะไป,ผมเองจะไป
เริ่มในส่วน,ในส่วนภาษี
part ที่ 2,อันที่ 2 เป็นเรื่อง
