text,start,end
สวัสดีค่ะ ขอต้อนรับทุกท่านเข้าสู่ Opportunity Day ของ,51.69,55.386
บริษัทแคลคอมอิเล็กทรอนิกส์ ประเทศไทยจำกัดมหาชน,55.434,59.625
 เพื่อแถลงผลประกอบการไตรมาสที่ 2 ของปี 2566,59.625,63.258
วันนี้เราได้รับเกียรติจากท่านผู้บริหารระดับสูงที่จะ,63.402,66.87
เข้ามาร่วมแถลงการและตอบข้อสักข่าวของเราในวันนี้นะคะ,66.87,70.554
โดยผู้บริหารที่เข้าร่วมในวันนี้มี,70.602,73.53
ดังนี้นะคะ ท่านแรกคุณสุยเจลลี ,73.674,76.474
White Share man of the company,76.474,78.714
ท่านเทศาคุณฟงศิษย์ โจกิตเจริญ แมนเนจิ้งเดรังเตอร์,86.922,90.618
การนับลงทุนสำคัญ,93.546,95.034
และดิฉันพอลพันธุ์ดุดเมย์นับลงทุนสัมพันธ์ค่ะ,95.178,98.106
วันนี้หัวข้อที่เราจะมาพูดถึงนะ,99.594,101.729
คะก็ในเรื่องของ Company Overview ค่ะ,101.729,104.05799999999999
Financial Highlight ของไตรมาสที่ 2 นะคะ,104.298,107.322
Business Outlook ค่ะ จากนั้นก็จะ,109.098,111.282
มาต่อข้อสังหาของนักลงทุนค่ะ,111.282,113.466
ค่ะ เริ่มแรกเลยนะคะขอเรียลชื่น,115.146,117.402
เรียนชวนคุณโจวพูดในเรื่องของ Company overview,117.45,120.474
ก็ขอสรุปคร่าว ๆ จากที่กรรมการ,1283.562,1285.76
ผู้จัดการได้อธิบายถึงภาพรวม,1285.76,1287.738
ของบริษัทไปนะคะ,1287.978,1289.658
ซึ่งบริษัทของเรามีค่อนข้างที่จะหลักหลายแห่ง,1289.802,1293.138
ทั่วโลกที่จะสามารถซัพพอร์ตลูกค้าของเราได้,1293.138,1296.474
และประเทศไทยคือหนึ่งในโรงงานสำคัญนั้น,1296.522,1300.026
และหลังจากนั้นค่ะ ท่านก็ได้เล่าถึงใน,1300.17,1302.786
ตัวของประเภทสินค้าที่เราผลิตนะคะ,1302.786,1305.402
ซึ่งประเภทสินค้าหรือรายการที่เรา,1305.45,1307.778
ผลิตค่อนข้างที่จะมีหลากหลายรายการ,1307.778,1310.106
โดยแบ่งเป็น 4 กลุ่มหลัก ๆ,1310.154,1312.89
ก็จะเป็นในเรื่องของ สตอเล็ต,1313.514,1315.8899999999999
 นอนสตอเล็ต พรินติ้ง หรือ อ่า,1315.8899999999999,1318.2659999999998
Communication Radio นะคะ,1320.042,1321.914
ค่ะ เนื่องจากประเทศไทยอ่ะค่ะเป็นจุดสำคัญหลักในการผลิต,1322.73,1326.665
นะคะ จึงมีแผนที่จะขยายโรงงานในประเทศไทยเพื่อรองรับ,1326.665,1330.845
ออเดอร์ใหม่ใหม่ที่จะเข้ามานะคะในปีต่อต่อไป,1330.845,1334.534
 จึงทำให้เราอ่ะค่ะมีโครงการที่จะเพิ่มทุน RO ขึ้นนะคะ,1334.534,1338.7140000000002
เพื่อระดมฟุ้งสร้างโรงงานเพิ่มขึ้นอีก 4 โรง,1338.762,1341.882
เพื่อรองรับออเดอร์ที่จะเข้ามาในอนาคต และหลัง,1345.482,1349.074
จากนั้นการเพิ่มทุนของบริษัทยังจะสามารถช่วยปรับปรุง,1349.074,1352.922
โครงสร้างทางการเงินของบริษัท,1352.97,1355.226
โดยลดต้นทุนทางการเงินลงประมาณ 10%,1355.37,1358.202
14 ล้านเหรียญหรือราวประมาณ 486,1358.25,1361.074
 ล้านบาทนะคะแล้วช่วยเอ่อเพื่อช่วย,1361.074,1364.25
ลดความไม่แน่นอนและผลกระทบที่,1364.394,1366.722
อาจเกิดขึ้นจากอัตราดอกเบี้ยนโยบายโลก,1366.722,1369.05
และยังช่วยเพิ่มความมั่นคงทางการเงินของบริษัทได้ด้วยนะคะ,1369.482,1373.274
และที่ผ่านมา บริษัทเราได้มีการจ่าย,1375.338,1378.49
ปันผลมาอย่างสม่ำเสมอ และปีนี้เราได้,1378.49,1381.642
มีการจ่ายปันผลระหว่างการไปแล้วในอัตรา,1381.642,1385.0810000000001
หุ้นละ 0.04 บาทต่อหุ้นนะ,1385.226,1387.932
คะสำหรับวัดกู้บินแรกของ 2566 ค่ะ,1387.932,1390.938
ค่ะ จากนั้นเรามาฟังในเรื่องของ Financial Highlight ของ,1391.37,1394.2259999999999
ไตรมาสที่ 2 กันนะคะ ขอเลี้ยงเชิญคุณเจนนี่ค่ะ,1394.2259999999999,1397.0819999999999
สวัสดีค่ะ,1399.914,1400.826
ประสิทธิภาพทางการเงินนะคะ,1404.234,1406.298
เงินกำไรขาดทุนนะคะ,1410.666,1412.73
อันนี้จะเป็นตารางที่ รอกับเพื่อนครึ่งปี,1412.778,1416.402
แรกของปี 2023 กับครึ่งปีแรกของ 2022 นะคะ,1416.402,1420.026
ให้นักลงทุนที่จะสามารถดู อ่า,1420.074,1422.778
 ปรับเทียบได้นะคะ อ่า เริ่มต้นนะคะ,1422.778,1425.482
