,text,start,end
0,สวัสดีครับ,12.618,13.53
0, What are the,14.25,15.354
1,แล้วรู้สึกลึกขั้นนะครับ แล้วก็,15.594,17.37
2,ส่วนผู้สูงทุกท่านนะครับ,17.706,18.906
1, This is also a day.,19.338,20.538
2, Auxility Day.,20.586,22.938
3,รอบสุดนะครับ,23.754,24.57
4,เพื่อนเพื่อนก็ล่าสุดคือไตรมาส 2,25.29,27.522
5, นะครับแล้วก็อัปเดตเรื่องสมกัด,27.522,29.754
6,บริษัทอินเตอร์ซอฟมาก,29.802,31.29
7,อย่านะครับ ท้อที,44.298,45.498
8,วิจัยทัศน์คมบริษัท,54.378,56.058
9,ก็ต้องการเป็นผู้นำผลิตภัณฑ์สุขภาพแบบครบวงจร,56.586,59.706
10,ทั้งของคนและของสัตว์จากต้นน้ำเดินตามไปน้ำเดินตาม,59.754,63.258
11,ก็คำว่าผิดฐานสุขภาพกับพวกองค์กรก็,63.882,66.618
12,จะพูดให้ฟังนะครับว่าว่าเป็นอย่างไรนะครับ,66.954,69.47399999999999
13,แล้วก็จากต้นน้ำตึงไปน้ำเป็นอย่างไรนะครับ,69.47399999999999,71.99399999999999
14,สำหรับโครงการเทรดทางสุขภาพ,74.25,77.092
15,ในวิสัยทางของบริษัท,77.092,79.578
16,ประมาณความรอบตั้งแต่,79.722,81.786
17,สีบวกกับดึงนิเจนะครับก็คือเรื่องเกี่ยวกับนวัตกรรมนะครับตอนนี้,82.506,86.106
18,งานของผมที่ทำแบบบัตรก็คือเป็นการ,86.346,88.794
19,ไปหารู้ทัศนความหมายใหม่นะครับ,89.322,91.29
20,ในการรักษาเพื่อทดการป้องกันโรคนะครับ,91.434,94.074
21,แล้วก็ถัดมาอันเนี้ยก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.794,97.883
22,เรามีโรงงานยาต่อโรคนะครับ ที่ผลิตยาที่เรียก,97.883,100.586
23,ว่าเจนลิกนะครับ หรือ Phenocytinic พี่เด็กเจนลิก,100.586,103.482
24,แล้วก็จะมีเรื่องของมูลค่าสติ๊กเกอร์แล้วก็ cost based,105.066,108.368
25, สติ๊กเกอร์นะครับซึ่งมันเป็นองค์การนะครับระหว่าง,108.368,111.258
26,เสริมจากยาที่เรียกว่าภูเก็ตอันเหตุศัพท์,111.882,115.194
27,เครื่องส่งงานกับยาเนี่ยก็จะเรียกว่า,116.394,119.226
28,คอร์สเมสิกินพร้อมหรือเลขสัมภาระ,119.85,122.202
29,แล้วก็หมายรวมถึงถึงเรื่องของเศษของ,123.21,125.427
30, healthy food healthy drink ด้วยครับ healthy snack,125.427,127.866
31,แล้วก็ Personal Care นี้ก็ยังอยู่ใน,128.874,131.394
32,สโคปที่ทำให้สาธารณะดำเนินธุรกิจ,131.394,133.91400000000002
33,เพราะว่าผมเองก็มีความเชื่อว่า,135.498,137.658
34,ความสุขภาพอย่างเช่นอาหารเนี่ยอนาคตมัน,138.282,140.994
35,อาจจะ ตั้งแต่การที่เรามาทานอาหาร,140.994,143.706
36,อาหารที่เราชามันเลยตรงกลางเนี้ย,144.426,146.394
37,ก็คนก็จะเริ่มใส่ใจเรื่องว่าอาหารที่,146.922,149.634
38,ทำจะต้องปลอดภัยแล้วก็ เอ่อ ดีต่อสุขภาพ,149.634,152.34599999999998
39,เปิดทั้งเครื่องดื่ม,152.394,153.498
40,สมทุกข์สองพันเล่มนะครับ,153.834,155.514
41,พูดถึง tomacidicle นะครับอันนี้ก็จะเป็นตัวอย่างของยาที่,157.866,161.562
42,งานลงทริปจากทั้งสองโรงงานนะครับที่เอ่อสำหรับประกาศ,162.378,165.42399999999998
43,ที่ภายใต้ชื่อใบฝัดย่อยที่ชื่อว่า modern former,165.42399999999998,168.08999999999995
44,แล้วก็โรงงานที่ซึมจะสามารถที่จะอยู่,168.618,172.218
45,ยุทธยานะครับ,172.362,173.37
46,มีอยู่ในฝั่งบริษัทกำรุดชนะ 2 อย่างเช่นซิงเหล็ก,173.802,176.61
47,ก็เป็นยารถไขมันเม็ดฟอลลิปก็เป็นยาเบาหวาน,176.61,179.41799999999998
48,เซ็นทริ่งก็คือยาแพ้แพ้แบบไม่ง่วง อโลทัฟ,179.946,182.224
49,ก็เป็นยาแพ้แพ้แบบไม่ง่วงอีกสูตร,182.224,184.122
50,ทั้งสองกลุ่มเนี้ยก็เป็น เอ่อ,184.938,186.714
51,ปัจจุบันแพทย์ก็จะใช้กันอยู่,186.762,188.346
52,ไปกดต้นเพื่อไปยัดรักษาลูกสะเกิดนะครับ,189.258,191.418
53,ดังนั้นขวาก็จะเป็นตัวอย่างของยาที่ผลิตที่,191.754,195.354
54,สมุดประกาศนะครับปัจจุบันเนี่ยสาวตัวเนี้ย,195.882,198.618
55,เขามีแผนนะครับในการที่จะทำให้มันเป็น OTC แปลนะครับ,199.05,202.458
56,ที่จะเป็นยาที่ใช้กันอย่างห้าหลายในร้านใช้ยา,203.082,206.586
57,อย่างเช่นเบลล่าคลาดเนี่ยเป็นยาสามัญประชาธิบดีนะครับ,207.114,211.002
58,ที่เราพึ่งกดตอน มีโฆษณาที่มีคุณอ้างเป็นพรีเซนเตอร์,212.49,215.898
59,ก็ส่วนโรงงานอายุทยานเราก็จะผลิตที่,217.962,221.178
60,น่าจะเป็นยอดกลุ่มคนละ 1 มิตรนะครับที่เป็นกลุ่มที่เรียกว่า,221.226,224.73
61,สิ่งที่อยากตามนะครับก็,225.738,227.226
62,ที่เคยเรียนได้มาก่อนหลายหลายครั้งเพราะว่า,227.37,229.722
63,ยาตาในกรุงไทยมีโรงงานที่,229.962,232.674
64,สามารถผลิตยาตาได้ไม่กี่โลม,232.674,235.386
65,อ่า คิดว่าถ้าเป็นผู้ผลิตในประเทศเนี่ยโรงงาน,236.202,239.226
66,ยุทยานั้นจะเป็นอันดับหนึ่ง,239.562,241.242
67,นอกนั้นก็จะเป็นสินค้านำ,241.866,243.354
68,อ้าว นะครับ,243.498,244.314
69,แล้วก็ผลิตในมาตรฐาน,244.554,246.138
70,ที่ เอ่อ กลุ่มนี้ก็เลยยังเป็นที่ทางเพศวรรษัตริยาดับแรก,247.818,251.514
3, of freedom.,251.562,252.666
71,เพราะเขาเป็นยาเจริญฤทธิ์ในศักดิ์ยาเจริญฤทธิ์อันดับหนึ่งของโลกเนี่ยเขามาช่างเราผลิต,253.098,257.082
72,แต่อย่างที่เคยเห็นนะครับเราก็จะมีแผน,259.338,261.52700000000004
73,ผลิตยาตาของเราเองซึ่งตอนนี้ก็พัฒนาอยู่,261.52700000000004,263.898
74,แล้วก็จะมีขั้นตอนทางเชื่อมในเรียนในศุกร์ศาสตร์ก็,264.81,267.354
75,คิดว่าจะล้อสักอย่างต่างต่อเองได้ในฟรี,267.402,270.042
76,สอง บาทห้าร้อยหกสิบแปดนะครับ,270.09,272.154
77,ปี 2565,272.586,273.498
4, 25,273.546,274.746
78,อีกสองปีข้างหน้านะครับ,274.89,276.282
79,นี่ก็จะเป็นตัวอย่างกับโฆษณาอัตโนมัติ,278.442,280.89
80,ที่จริงๆเราไม่คลิปนะครับแต่ก็เชิญว่า,281.13,283.77
5, And many other side what's up,284.778,286.554
6, but,287.658,288.474
81,ผู้ประดิษฐ์ส่งไป,289.194,290.202
82,เป็นจริง PDF ไฟล์นะครับ,290.538,292.986
83,นี้เราก็จะมาด้วยเรื่องของการเอ่อ,293.13,295.602
84,รถไฟแล้วก็บันทออการปวดทั้งเจ็ด,295.602,298.074
85,เราจะเห็นว่า ยาแก้ปวดในท้องผลักเกรด แก้ปวดหัว,299.37,303.066
86,ของเราเนี่ยได้รับการรู้มาจากเอายอเนี่ย,303.786,305.946
87,สามารถกระจอกการปวดได้ถึง 7 ปวดนะครับ,306.09,308.634
7," because it will hurt the head, the ears, the muscles, the stomach, the blood from the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the",308.97,311.15400000000005
8," throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat, the throat,",311.15400000000005,313.3380000000001
88,อันนี้เราก็ก็ยินท่องศาลาอยู่คิดว่าหลายๆท่านผมได้เห็นนะครับ,316.362,319.578
89,อ๋อ นี่ครับ โอเค,321.162,322.266
90,ออกพิสดาร์ขึ้นเลยครับ,322.506,323.706
91,แต่เสียอาจจะไม่ออกนะครับ หัวปวดปวดประจำเดือนนะครับ,324.522,327.738
92,ตรวจหลังอยู่นะครับ,330.09,331.098
9," Pain in head, back,",334.794,336.766
10," ears, chin, and hands.",336.766,339.066
93,ปัจจุบันก็ขายอยู่ในทุกซ่องทาง,339.882,342.21
94,นะครับไม่ว่า 7-11 มีนี้มา,342.21,344.53799999999995
95,เชิดแล้วก็ล้างสยามรูปไฟนะครับ,345.258,347.802
11, I believe we can spread it out in 4 billion cars.,348.33,351.834
96,เราขยันจะขยันไปพบลุงกับล้านค้าเลยครับ,351.882,354.522
97,วันนี้เราก็ปัจจุบันเราก็เลยมี,356.394,359.226
98,ผลิตภัณฑ์ที่เรามีพรีเซนเตอร์อยู่ 3 ฝั่งตัว,359.466,362.778
99,เวลาผลลัพธ์ก็คือคนตั้งนะครับยาสี,364.266,366.91
100,ฟันโปรเฟนติกของเราก็คือผลิตภัณฑ์,366.91,369.114
101,อินเบอร์รี่นะครับ,369.546,370.554
12, And also has a Probex 7,370.89,373.434
102,งานชักวิญญาณ อินทรอส ตก,374.442,376.506
103,นะครับ ในกลุ่มดูชาวซูลิโคลด์แล้วก็เหมือนเดิมนะครับ,379.818,382.746
13, The price of the product is the same as the price of the product.,382.794,386.682
104,แล้วก็,389.514,390.522
105,อย่าคิดให้ท่านทราบนะครับว่าโฟล,390.57,392.73
106,โอ้ แฟนของเราก็เป็นยอดแฟนดับหนึ่งในร้านเชียงยา,392.874,396.186
107,แล้วในโรงพยาบาลก็เป็นอันดับหนึ่งนะครับในแง่ของกลุ่ม,396.906,400.314
14," 7,000 total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total total",400.362,401.946
15, ก็ผิด,402.954,404.058
108,เนื่องจากว่าเขาจะมีผู้ใช้กันอยู่อย่างแท้หลัง,405.354,408.666
109,สิ่งที่เราเห็นไหมครับว่าผมมี,409.578,412.506
16, The red one is called the treatment of the treatment of the treatment of the treatment of the,412.65,415.962
110,สิ่งที่จะพบกับเราค่อนข้างมากก็คือสินค้าออมแล้วก็โลกเลียนแปลง,416.298,419.898
111,Apple แบคเนี่ย แล้วก็ Apple มัสเตอร์เน็ต,420.906,423.354
112,เวลาคุณโอเคติดกิจกรรมในท้องถามมีค่อนข้างเยอะนะครับ,424.362,427.29
113,เป็นรายแรกก็จริงตอนแบบนี้ก็น่าจะมีเป็นร้อย,427.338,430.458
114,ผลิตภัณฑ์เนี่ย ก็เพราะว่า หลวงปู่เองก็จะแนะนำว่า,430.506,434.49
115,ควรจะใช้ตัวที่,434.538,436.218
17, And we have to be aware of the fact that the doctors and the doctors and the doctors,436.362,439.194
116,เราใช้นะครับเชื่อถึง,439.434,440.826
117,แล้วก็น่าจะเป็นแบรนด์เดียวที่ขายอยู่ในโรงพยาบาล,441.834,445.146
118,ว่าคลีนิกสั้นนำนะครับคลีนิกสโลวัตติหรือเปล่านะครับ,446.154,449.178
119,อันนี้ก็จะเป็นกลุ่ม,452.202,453.402
120,นะครับก็จะส่วนใหญ่เราจะพัฒนาอยู่บนทางของโปรเกติก,456.042,459.498
121,นะครับไม่ว่าจะยักษ์เป็นโปรเกติกหรือหลังน่าโปรเกติก,459.498,462.522
122,แล้วก็มูสสำหรับล้างถึงซอสเมนต์,462.858,465.978
123,ก็เป็นภายใต้แบบที่ชื่อว่า t s หก โมส คือ โมส,466.314,470.01
124,แล้วก็อยู่ทุกเทสต์นะครับ,470.25,471.642
125,วันนี้ก็อยากเสียกว่าหนึ่งวัน,473.034,474.999
126,เราก็คิดว่าเป็นแปลกเดี๋ยวที่เรา,474.999,477.21
127,อันนี้ก็ต้องได้รับมัดจากเอายอนะครับว่าครบจบได้หลอด,478.89,482.466
128,เดียวนะครับ เป็นแน่น บริษัทของรถแข่งสู่บริหารการแปะประโยค,482.466,486.042
129,ก็ได้ เอ่อ ทุก ๆ ด้านนะครับ ไม่ว่าจะฟันขาว,486.858,490.17
130,กลิ่นปากนะครับ,490.314,491.61
